,id,minute,possession_team,play_pattern,team,player,shot_end_location,position,location,duration,shot_one_on_one,shot_outcome,shot_type,match_id,under_pressure
116415,a4a49519-d45e-48a7-90ba-1b3a1da2eaef,45,Almería,From Throw In,Almería,Rodrigo Ríos Lozano,"[118.8, 43.6, 1.2]",Center Forward,"[108.5, 55.3]",0.5207,,Saved,Open Play,266420,
116416,3c2d9d93-c9d0-408b-9c28-12848ec2e43d,55,Barcelona,From Throw In,Barcelona,Adriano Correia Claro,"[120.0, 42.6, 0.1]",Left Back,"[115.4, 37.1]",0.7363,,Goal,Open Play,266420,
116417,f4768d39-9d54-4c75-adb4-a0d4b90d75ae,58,Barcelona,From Throw In,Barcelona,Pedro Eliezer Rodríguez Ledesma,"[120.0, 33.7, 0.2]",Left Wing,"[97.8, 39.0]",1.0036,,Off T,Open Play,266420,
116418,a86bb241-78dc-45db-a4c5-3877402ed295,63,Barcelona,From Free Kick,Barcelona,Daniel Alves da Silva,"[104.3, 56.7]",Right Back,"[103.5, 57.4]",0.1884,,Blocked,Open Play,266420,
116419,87581b6d-f684-4335-ba77-a78ed91d7b43,73,Almería,Regular Play,Almería,Sebastián Dubarbier,"[89.5, 31.1]",Left Midfield,"[86.0, 30.4]",0.0948,,Blocked,Open Play,266420,
116420,7a0ba567-d0e0-4193-a2ec-7c945a76f25f,76,Barcelona,Regular Play,Barcelona,Sergio Busquets i Burgos,"[103.7, 41.2]",Center Defensive Midfield,"[95.4, 43.0]",0.4128,,Blocked,Open Play,266420,
116421,e7b5fa65-d219-44df-a3c4-1687b8372ca2,76,Barcelona,Regular Play,Barcelona,Adriano Correia Claro,"[120.0, 33.0, 0.1]",Left Back,"[99.9, 35.1]",0.8601,,Off T,Open Play,266420,
116422,41a860ef-2fbc-461b-bb56-540311781679,80,Barcelona,From Corner,Barcelona,Marc Bartra Aregall,"[120.0, 44.5, 0.2]",Right Center Back,"[115.1, 50.0]",0.431581,,Off T,Open Play,266420,
116423,f0675b4a-b36b-4488-9eb7-ca551525b93d,90,Barcelona,From Free Kick,Barcelona,Cristian Tello Herrera,"[120.0, 46.7, 0.2]",Right Wing,"[107.6, 26.8]",1.1546,True,Off T,Open Play,266420,
116424,ca8bff90-7a4a-4029-8325-494eec2e5c60,92,Barcelona,Regular Play,Barcelona,Daniel Alves da Silva,"[119.6, 43.9, 0.5]",Right Back,"[117.7, 48.1]",0.3412,True,Saved,Open Play,266420,
137565,c61c4758-0c9d-4890-85d6-1f2d6604383c,4,Barcelona,Regular Play,Barcelona,Ivan Rakitić,"[105.0, 22.9]",Left Center Midfield,"[104.2, 22.0]",0.1973,,Blocked,Open Play,265835,
137566,945dcf94-7a58-43c1-8946-c8de596c4ab2,7,Barcelona,From Throw In,Barcelona,Lionel Andrés Messi Cuccittini,"[116.2, 36.9, 0.3]",Right Wing,"[102.2, 33.4]",0.7609,,Saved,Open Play,265835,
137567,4a69e35b-14c0-4a4c-bf60-dc7f38965886,12,Barcelona,Regular Play,Barcelona,Neymar da Silva Santos Junior,"[101.8, 39.1]",Left Wing,"[100.9, 38.9]",0.147628,,Blocked,Open Play,265835,True
137568,ab810a26-003b-4b80-bbf6-acf415d8f9f0,20,Barcelona,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 36.8, 2.0]",Right Wing,"[96.0, 36.2]",0.9621,,Goal,Free Kick,265835,
137569,9f7fcee0-d0f5-4d35-9d03-d10c75664b9f,44,Barcelona,From Corner,Barcelona,Neymar da Silva Santos Junior,"[114.7, 38.4, 0.2]",Left Wing,"[108.6, 36.3]",0.3609,,Saved,Open Play,265835,
137570,93986bb7-1fc7-43f1-9dfc-61a1ee0e4609,48,Barcelona,From Free Kick,Barcelona,Neymar da Silva Santos Junior,"[120.0, 43.2, 0.8]",Left Wing,"[109.5, 42.7]",0.6109,,Goal,Open Play,265835,
137571,b43bd8d6-bbaa-42e5-b2bd-c35a0e559f5a,54,Barcelona,Regular Play,Barcelona,Sergio Busquets i Burgos,"[102.7, 47.8]",Center Defensive Midfield,"[95.4, 49.8]",0.2357,,Blocked,Open Play,265835,
137572,dd74f6da-c7b6-4fc8-a363-14d54706b471,57,Barcelona,Regular Play,Barcelona,Ivan Rakitić,"[120.0, 33.2, 0.4]",Left Center Midfield,"[98.4, 22.1]",0.707961,,Off T,Open Play,265835,
137573,dbbdd81c-6159-424a-8620-549fadcb9c45,58,Sevilla,From Free Kick,Sevilla,Víctor Machín Pérez,"[108.3, 32.6]",Left Wing,"[104.7, 29.8]",0.1803,,Blocked,Open Play,265835,
