,id,minute,possession_team,play_pattern,team,player,shot_end_location,position,location,duration,shot_one_on_one,shot_outcome,shot_type,match_id,under_pressure,Goal,Goal_Win
126031,bb856028-e538-4750-a45c-a2ac49429910,53,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 35.1, 1.4]",Right Wing,"[99.4, 39.6]",0.913934,,Off T,Open Play,303516,,0,False
126032,0e27ad88-f83e-4353-9f25-df9260c406cf,55,Barcelona,From Counter,Barcelona,Anssumane Fati,"[105.7, 30.2]",Left Wing,"[104.6, 29.7]",0.192577,,Blocked,Open Play,303516,,0,False
126033,5fdfdd1f-6154-44e1-a3e6-63a52d63280b,58,Barcelona,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[105.5, 29.7]",Right Wing,"[103.0, 27.6]",0.206713,,Blocked,Open Play,303516,,0,False
126034,04c66df0-5b74-4796-bd56-e84aaf5862cb,66,Barcelona,From Throw In,Barcelona,Luis Alberto Suárez Díaz,"[120.0, 37.1, 0.0]",Center Forward,"[108.6, 48.2]",0.823089,,Goal,Open Play,303516,,1,True
126036,24e9220a-98b3-42de-a5bf-29ec257a01ff,75,Barcelona,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[103.9, 45.8]",Right Wing,"[93.4, 46.4]",0.341319,,Blocked,Free Kick,303516,,0,False
126039,d5c310e9-18a3-4b1e-b1b8-4459bfad7cc9,93,Barcelona,Regular Play,Barcelona,Ivan Rakitić,"[100.7, 38.6]",Center Defensive Midfield,"[89.5, 38.1]",0.369178,,Blocked,Open Play,303516,,0,False
126049,36fb177b-aafb-406e-9d9f-e14542b05547,29,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[118.2, 41.5]",Right Wing,"[103.7, 41.1]",0.71576,,Blocked,Open Play,303596,True,0,False
126051,ed0793a5-64ad-4682-9bd9-12e66dbd7a2b,32,Barcelona,From Free Kick,Barcelona,Jordi Alba Ramos,"[105.5, 24.4]",Left Back,"[104.8, 23.6]",0.059779,,Blocked,Open Play,303596,True,0,False
126054,2c30999e-9481-4387-ba9f-1ea737f2ddf0,40,Barcelona,Regular Play,Barcelona,Jordi Alba Ramos,"[120.0, 46.4, 0.2]",Left Back,"[110.3, 33.2]",1.026983,,Off T,Open Play,303596,,0,False
126058,f5d5c186-d650-43a9-90dc-f1ba5c933baa,63,Barcelona,Regular Play,Barcelona,Antoine Griezmann,"[113.6, 51.2]",Left Wing,"[111.7, 53.9]",0.113015,,Blocked,Open Play,303596,,0,False
126060,23fe002f-6d7c-4ed7-af9f-5629265242cd,66,Barcelona,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[97.9, 34.6]",Right Wing,"[88.2, 34.3]",0.321248,,Blocked,Free Kick,303596,,0,False
126062,fc0d3479-aba5-4ac5-8fc8-b565a93bdf02,71,Barcelona,From Free Kick,Barcelona,Frenkie de Jong,"[115.2, 42.3, 0.2]",Left Center Midfield,"[100.6, 51.6]",0.625184,,Saved,Open Play,303596,,0,False
126063,85b924e6-ac54-4fc9-bb4f-240fd274f062,73,Barcelona,From Free Kick,Barcelona,Luis Alberto Suárez Díaz,"[120.0, 44.8, 6.1]",Center Forward,"[109.0, 26.1]",0.88661,,Off T,Open Play,303596,,0,False
126064,4854fd09-9576-4332-bfe4-99f6061e7117,86,Barcelona,From Corner,Barcelona,Luis Alberto Suárez Díaz,"[120.0, 48.8, 0.7]",Center Forward,"[113.8, 47.9]",0.411206,,Off T,Open Play,303596,True,0,False
126065,568766e0-ec51-4635-a08d-c8fb8bf59bae,88,Barcelona,Regular Play,Barcelona,Luis Alberto Suárez Díaz,"[110.6, 25.8]",Center Forward,"[110.0, 25.1]",0.073554,,Blocked,Open Play,303596,,0,False
126067,64f6fbe9-b6bd-4268-b5b3-035d85bf3688,2,Barcelona,From Corner,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 35.8, 2.3]",Right Wing,"[118.5, 25.9]",0.413645,True,Off T,Open Play,303430,,0,False
126069,b9a305ed-7a63-4f58-8c0f-1c7d1fa9c2bf,5,Barcelona,From Corner,Barcelona,Antoine Griezmann,"[120.0, 42.5, 2.5]",Left Wing,"[117.8, 48.4]",0.432152,True,Goal,Open Play,303430,,1,True
126071,3f97b8a1-c7c4-4897-a9b6-eeb74bdcef20,14,Barcelona,Regular Play,Barcelona,Antoine Griezmann,"[107.6, 33.0]",Left Wing,"[105.4, 32.3]",0.126964,,Blocked,Open Play,303430,,0,False
126072,f41bd32b-7398-4312-bde2-939d631c919a,14,Barcelona,From Throw In,Barcelona,Arthur Henrique Ramos de Oliveira Melo,"[120.0, 38.1, 2.5]",Left Center Midfield,"[88.8, 39.3]",1.057577,,Goal,Open Play,303430,,1,True
126077,d98c76da-515c-43a6-9bbd-3f5b3cbbd18b,46,Barcelona,Regular Play,Barcelona,Antoine Griezmann,"[112.3, 23.5]",Left Wing,"[114.2, 32.0]",0.969941,,Wayward,Open Play,303430,,0,False
126079,954f5c43-4411-42c5-a275-3441160f0575,51,Barcelona,From Free Kick,Barcelona,Luis Alberto Suárez Díaz,"[117.7, 41.3, 0.3]",Center Forward,"[106.9, 42.5]",0.928181,,Saved,Open Play,303430,,0,False
126084,6434c39d-f3bb-44db-aeeb-4c506e0b2144,79,Barcelona,From Free Kick,Barcelona,Anssumane Fati,"[120.0, 45.3, 0.8]",Left Wing,"[104.1, 28.6]",1.016264,,Off T,Open Play,303430,,0,False
126085,81d104c2-7c87-4b51-8877-33f12b4a6ec7,89,Barcelona,From Free Kick,Barcelona,Gerard Piqué Bernabéu,"[118.6, 37.2, 2.1]",Right Center Back,"[98.7, 25.0]",0.918975,,Saved,Free Kick,303430,,0,False
126086,4451e109-786a-479f-8c4e-9d7b56ca032c,92,Barcelona,From Throw In,Barcelona,Antoine Griezmann,"[120.0, 42.2, 4.2]",Center Forward,"[103.9, 44.3]",0.689067,,Off T,Open Play,303430,True,0,False
126087,a87633ce-d489-4285-8e71-09414f549537,5,Barcelona,From Throw In,Barcelona,Antoine Griezmann,"[104.7, 36.5]",Right Center Forward,"[101.9, 36.3]",0.180049,,Blocked,Open Play,303725,,0,False
126088,e2020cb0-6d8e-4454-979b-7ecff9407d8e,9,Barcelona,From Throw In,Barcelona,Arturo Erasmo Vidal Pardo,"[120.0, 45.6, 5.5]",Right Center Midfield,"[113.3, 56.1]",0.72678,,Off T,Open Play,303725,,0,False
126091,05d1d3e8-579e-44c2-a56e-1c4eedce15ac,15,Barcelona,From Kick Off,Barcelona,Luis Alberto Suárez Díaz,"[117.0, 35.5, 0.2]",Left Center Forward,"[112.9, 28.8]",0.312074,True,Saved,Open Play,303725,True,0,False
126092,d4bf7fbb-9638-4399-ad70-964539d90e11,15,Barcelona,From Corner,Barcelona,Gerard Piqué Bernabéu,"[118.7, 40.7, 1.3]",Right Center Back,"[112.9, 40.8]",0.665872,,Saved,Open Play,303725,True,0,False
126094,d0bffe4b-8eca-45c0-8f6d-0d8a0699bd15,18,Barcelona,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[98.4, 43.7]",Center Attacking Midfield,"[89.5, 45.9]",0.352315,,Blocked,Free Kick,303725,,0,False
126095,c2e328ea-c814-4515-b6e5-018bbf06cfcf,19,Barcelona,From Counter,Barcelona,Luis Alberto Suárez Díaz,"[120.0, 43.4, 2.0]",Left Center Forward,"[101.5, 27.0]",0.911746,,Goal,Open Play,303725,,1,True
126099,aa991dbe-786c-4382-a4d0-872f6717959c,37,Barcelona,Regular Play,Barcelona,Arturo Erasmo Vidal Pardo,"[115.1, 44.0, 1.5]",Right Center Midfield,"[107.4, 51.1]",0.386903,,Saved,Open Play,303725,,0,False
126100,d47939f0-f03f-40fb-ad30-bebe39891216,44,Barcelona,From Throw In,Barcelona,Antoine Griezmann,"[120.0, 42.4, 2.4]",Right Center Forward,"[101.5, 30.3]",1.383186,,Goal,Open Play,303725,,1,True
126101,a4f0784b-4a78-4764-a0ef-7c6a155ae028,52,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[118.9, 40.8, 2.2]",Center Attacking Midfield,"[103.9, 41.0]",1.026645,,Saved,Open Play,303725,,0,False
126102,b4bd611a-e184-48cb-be59-d3026924493f,57,Barcelona,From Free Kick,Barcelona,Luis Alberto Suárez Díaz,"[117.8, 47.3, 0.2]",Left Center Forward,"[116.8, 49.1]",0.075623,True,Saved,Open Play,303725,,0,False
126103,2dd05dc7-32d9-4ce7-bd28-5f2d3032c612,65,Barcelona,Regular Play,Barcelona,Arturo Erasmo Vidal Pardo,"[116.6, 41.8, 0.4]",Right Center Midfield,"[100.1, 42.7]",0.612738,,Saved,Open Play,303725,,0,False
126104,aa572759-abf2-4a8e-ac74-f84702a41604,66,Barcelona,From Counter,Barcelona,Jordi Alba Ramos,"[117.6, 35.4, 0.4]",Left Back,"[111.5, 28.7]",0.439303,,Saved,Open Play,303725,,0,False
126106,b8fe4ce4-e6eb-46a1-8cba-aad6d3e4fe65,80,Barcelona,Regular Play,Barcelona,Martin Braithwaite Christensen,"[110.3, 44.1, 0.2]",Center Forward,"[109.5, 44.4]",0.326596,,Saved,Open Play,303725,True,0,False
126107,f0840747-cf06-4db0-816a-e8dfe069df91,85,Barcelona,From Free Kick,Barcelona,Anssumane Fati,"[120.0, 37.3, 0.1]",Left Wing,"[103.4, 30.0]",0.183159,,Goal,Open Play,303725,,1,True
126109,707a1707-559e-47ba-bb21-27085e6b019d,90,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[117.4, 45.6, 1.3]",Right Wing,"[114.4, 51.1]",0.220836,True,Saved,Open Play,303725,,0,False
126110,12fe3594-d5ad-4be1-bbe6-e2a028e716c8,92,Barcelona,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 36.6, 2.8]",Right Wing,"[96.7, 38.3]",1.161073,,Post,Free Kick,303725,,0,False
126111,9c360fe7-e77c-45a1-bf96-9827953b1011,92,Barcelona,From Free Kick,Barcelona,Martin Braithwaite Christensen,"[119.2, 41.3, 1.8]",Center Forward,"[114.9, 40.8]",0.62128,True,Saved,Open Play,303725,,0,False
126112,b52a5a82-41f7-4234-a158-7755139fdacf,92,Barcelona,From Corner,Barcelona,Sergi Roberto Carnicer,"[120.0, 26.4, 3.9]",Right Back,"[112.2, 50.3]",0.803426,,Off T,Open Play,303725,True,0,False
126115,b1653192-7b52-4d7d-b484-7c940d29e3c9,6,Barcelona,Regular Play,Barcelona,Luis Alberto Suárez Díaz,"[117.5, 41.1, 0.3]",Center Forward,"[100.1, 41.5]",0.723679,,Saved,Open Play,303504,,0,False
126116,432ed365-0243-4474-82f1-97aa1174d7d4,14,Barcelona,Regular Play,Barcelona,Sergi Roberto Carnicer,"[106.1, 0.1]",Right Back,"[111.6, 49.0]",0.731015,,Wayward,Open Play,303504,,0,False
126121,71837c00-51c1-4662-9813-fd596758de8a,30,Barcelona,From Counter,Barcelona,Antoine Griezmann,"[116.6, 44.0, 0.3]",Left Wing,"[110.9, 50.9]",0.323967,True,Saved,Open Play,303504,,0,False
126122,d30db613-31b1-4eba-8cd6-94830e9ba36d,37,Barcelona,Other,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 42.4, 2.0]",Right Wing,"[108.2, 39.9]",0.427845,True,Goal,Penalty,303504,,1,True
126123,0fe63b9c-773e-42a7-bedb-861fc78eb53c,42,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[117.2, 39.2, 0.2]",Center Forward,"[114.2, 39.0]",0.243776,,Saved,Open Play,303504,True,0,False
126124,e19443a7-0560-4862-9a20-8cc80bc6bd40,42,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[115.4, 39.9, 0.3]",Center Forward,"[114.5, 40.3]",0.013308,,Saved,Open Play,303504,,0,False
126129,3f5f7cf8-811c-4959-99e6-63b9224ad039,79,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[109.2, 46.5]",Center Attacking Midfield,"[97.6, 53.7]",0.435324,,Blocked,Open Play,303504,,0,False
126130,e829fd9e-c8e3-41cc-928b-7b668dad2093,86,Barcelona,From Free Kick,Barcelona,Anssumane Fati,"[119.9, 46.1, 1.2]",Left Wing,"[105.3, 24.1]",1.078326,,Off T,Open Play,303504,,0,False
126131,de27fc48-44fc-44ca-8975-7d90addaf4d1,91,Barcelona,From Throw In,Barcelona,Anssumane Fati,"[118.1, 39.4, 1.1]",Left Wing,"[113.5, 35.3]",0.499932,,Saved,Open Play,303504,,0,False
126133,998a2885-6dd0-45c4-8b19-788b6f8913e9,93,Barcelona,From Throw In,Barcelona,Lionel Andrés Messi Cuccittini,"[102.0, 44.3]",Center Attacking Midfield,"[97.5, 48.7]",0.263751,,Blocked,Open Play,303504,,0,False
126134,d8228044-ab03-4c87-9be0-a162e90c60d6,3,Barcelona,From Corner,Barcelona,Lionel Andrés Messi Cuccittini,"[110.4, 48.4]",Right Wing,"[102.8, 59.3]",0.477216,,Blocked,Open Play,303451,,0,False
126136,0421724e-5597-4493-8086-785a78dadeaa,6,Barcelona,From Goal Kick,Barcelona,Antoine Griezmann,"[120.0, 38.7, 0.5]",Left Wing,"[111.3, 31.3]",1.070684,True,Goal,Open Play,303451,,1,True
